,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
0,usa,7920751.0,218940.0,5072490.0,2629321.0,14781.0,117018883.0,23891.0,660.0
1,india,7037357.0,108046.0,6045595.0,883716.0,8944.0,85798698.0,5086.0,78.0
2,brazil,5073483.0,150023.0,4433595.0,489865.0,8318.0,17900000.0,23822.0,704.0
3,russia,1285084.0,22454.0,1016202.0,246428.0,2300.0,50305243.0,8805.0,154.0
4,colombia,894300.0,27495.0,780547.0,86258.0,2220.0,4097223.0,17525.0,539.0
5,spain,890367.0,32929.0,0.0,857438.0,1590.0,13689776.0,19041.0,704.0
6,argentina,871468.0,23225.0,697141.0,151102.0,4092.0,2191450.0,19234.0,513.0
7,peru,843355.0,33158.0,733000.0,77197.0,1235.0,4027591.0,25482.0,1002.0
8,mexico,809751.0,83507.0,588085.0,138159.0,2537.0,2068647.0,6262.0,646.0
9,france,691977.0,32583.0,100828.0,558566.0,1448.0,12061094.0,10595.0,499.0
10,south_africa,688352.0,17547.0,620081.0,50724.0,546.0,4360105.0,11567.0,295.0
11,uk,575679.0,42679.0,0.0,533000.0,436.0,26987470.0,8468.0,628.0
12,iran,496253.0,28293.0,403950.0,64010.0,4439.0,4284413.0,5888.0,336.0
13,chile,479595.0,13272.0,452054.0,14269.0,817.0,3654041.0,25030.0,693.0
14,iraq,400124.0,9790.0,332330.0,58004.0,530.0,2470645.0,9888.0,242.0
15,bangladesh,377073.0,5500.0,291365.0,80208.0,0.0,2061528.0,2283.0,33.0
16,italy,349494.0,36140.0,238525.0,74829.0,390.0,12460055.0,5783.0,598.0
17,saudi_arabia,338944.0,5018.0,324737.0,9189.0,842.0,6976541.0,9695.0,144.0
18,philippines,336926.0,6238.0,276094.0,54594.0,1758.0,4091156.0,3064.0,57.0
19,turkey,334031.0,8778.0,293145.0,32108.0,1414.0,11506414.0,3949.0,104.0
20,indonesia,328952.0,11765.0,251481.0,65706.0,0.0,3726476.0,1199.0,43.0
21,germany,322194.0,9690.0,273500.0,39004.0,532.0,18129900.0,3842.0,116.0
22,pakistan,318266.0,6558.0,303062.0,8646.0,475.0,3828952.0,1433.0,30.0
23,israel,289799.0,1914.0,225718.0,62167.0,845.0,3955593.0,31508.0,208.0
24,ukraine,256266.0,4887.0,112570.0,138809.0,177.0,2522360.0,5870.0,112.0
25,canada,180142.0,9608.0,151345.0,19189.0,154.0,8047974.0,4762.0,254.0
