,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
0,USA,560433.0,22115.0,32634.0,505684.0,11766.0,2833112.0,1693.0,67.0
1,Spain,169496.0,17489.0,64727.0,87280.0,7371.0,600000.0,3625.0,374.0
2,Italy,156363.0,19899.0,34211.0,102253.0,3343.0,1010193.0,2586.0,329.0
3,France,132591.0,14393.0,27186.0,91012.0,6845.0,333807.0,2031.0,221.0
4,Germany,127854.0,3022.0,64300.0,60532.0,4895.0,1317887.0,1526.0,36.0
5,UK,84279.0,10612.0,0.0,73667.0,1559.0,352974.0,1241.0,156.0
6,Iran,73303.0,4585.0,45983.0,22735.0,3877.0,275427.0,873.0,55.0
7,Turkey,56956.0,1198.0,3446.0,52312.0,1665.0,376100.0,675.0,14.0
8,Belgium,30589.0,3903.0,6707.0,19979.0,1234.0,102151.0,2639.0,337.0
9,Netherlands,25587.0,2737.0,250.0,22600.0,1384.0,115992.0,1493.0,160.0
10,Switzerland,25503.0,1117.0,12700.0,11686.0,386.0,193800.0,2947.0,129.0
11,Canada,24383.0,717.0,7172.0,16494.0,557.0,422200.0,646.0,19.0
12,Brazil,22318.0,1230.0,173.0,20915.0,296.0,62985.0,105.0,6.0
13,Russia,18328.0,148.0,1470.0,16710.0,8.0,1300000.0,126.0,1.0
14,Portugal,16934.0,535.0,277.0,16122.0,188.0,163616.0,1661.0,52.0
15,Austria,13984.0,368.0,7343.0,6273.0,239.0,148412.0,1553.0,41.0
16,Israel,11235.0,110.0,1689.0,9436.0,181.0,117339.0,1298.0,13.0
17,S. Korea,10537.0,217.0,7447.0,2873.0,55.0,514621.0,206.0,4.0
18,Sweden,10483.0,899.0,381.0,9203.0,839.0,54700.0,1038.0,89.0
19,Ireland,9655.0,334.0,25.0,9296.0,194.0,53000.0,1955.0,68.0
20,India,9240.0,331.0,1096.0,7813.0,0.0,189111.0,7.0,0.2
21,Peru,7519.0,193.0,1798.0,5528.0,134.0,76506.0,228.0,6.0
22,Ecuador,7466.0,333.0,501.0,6632.0,184.0,23635.0,423.0,19.0
23,Japan,7370.0,123.0,784.0,6463.0,129.0,77381.0,58.0,1.0
24,Chile,7213.0,80.0,2059.0,5074.0,387.0,82271.0,377.0,4.0
25,Poland,6674.0,232.0,439.0,6003.0,160.0,138007.0,176.0,6.0
26,Romania,6633.0,318.0,914.0,5401.0,231.0,67204.0,345.0,17.0
27,Norway,6525.0,128.0,32.0,6365.0,59.0,126486.0,1204.0,24.0
28,Australia,6359.0,61.0,3494.0,2804.0,79.0,362136.0,249.0,2.0
29,Denmark,6174.0,273.0,2123.0,3778.0,104.0,70125.0,1066.0,47.0
30,Czechia,5991.0,0.0,467.0,5524.0,87.0,128359.0,559.0,13.0
31,Pakistan,5374.0,93.0,1095.0,4186.0,44.0,65114.0,24.0,0.4
32,Philippines,4932.0,315.0,242.0,4375.0,1.0,33814.0,45.0,3.0
33,Malaysia,4817.0,77.0,2276.0,2464.0,66.0,81730.0,149.0,2.0
34,Mexico,4661.0,296.0,1843.0,2522.0,185.0,36594.0,36.0,2.0
35,Indonesia,4557.0,399.0,380.0,3778.0,0.0,27075.0,17.0,1.0
36,Saudi Arabia,4462.0,59.0,761.0,3642.0,67.0,115585.0,128.0,2.0
37,UAE,4123.0,22.0,680.0,3421.0,1.0,648195.0,417.0,2.0
38,Serbia,3630.0,80.0,400.0,3150.0,146.0,18312.0,415.0,9.0
39,Panama,3400.0,87.0,29.0,3284.0,106.0,15147.0,788.0,20.0
40,Luxembourg,3281.0,66.0,500.0,2715.0,30.0,29165.0,5241.0,105.0
41,Qatar,3231.0,7.0,334.0,2890.0,37.0,50828.0,1121.0,2.0
42,Ukraine,3102.0,93.0,97.0,2912.0,45.0,30314.0,71.0,2.0
43,Finland,3064.0,59.0,300.0,2705.0,74.0,46000.0,553.0,11.0
44,Dominican Republic,2967.0,173.0,131.0,2663.0,147.0,9275.0,274.0,16.0
45,Belarus,2919.0,29.0,203.0,2687.0,55.0,68000.0,309.0,3.0
46,Colombia,2776.0,109.0,270.0,2397.0,92.0,41765.0,55.0,2.0
47,Thailand,2579.0,40.0,1288.0,1251.0,61.0,71860.0,37.0,0.6
48,Singapore,2532.0,8.0,560.0,1964.0,31.0,72680.0,433.0,1.0
49,Argentina,2208.0,95.0,468.0,1645.0,83.0,19758.0,49.0,2.0
50,South Africa,2173.0,25.0,410.0,1738.0,7.0,80085.0,37.0,0.4
51,Greece,2114.0,98.0,269.0,1747.0,76.0,42261.0,203.0,9.0
52,Egypt,2065.0,159.0,589.0,1317.0,0.0,25000.0,20.0,2.0
53,Algeria,1914.0,293.0,591.0,1030.0,60.0,3359.0,44.0,7.0
54,Morocco,1746.0,120.0,196.0,1430.0,1.0,8952.0,47.0,3.0
55,Iceland,1701.0,8.0,889.0,804.0,10.0,35253.0,4985.0,23.0
56,Moldova,1662.0,0.0,107.0,1555.0,80.0,6271.0,412.0,9.0
57,Croatia,1600.0,23.0,373.0,1204.0,34.0,16381.0,390.0,6.0
58,Hungary,1458.0,109.0,120.0,1229.0,58.0,34819.0,151.0,11.0
59,Iraq,1352.0,76.0,640.0,636.0,0.0,35415.0,34.0,2.0
60,New Zealand,1349.0,5.0,546.0,798.0,4.0,62827.0,280.0,1.0
61,Bahrain,1348.0,6.0,591.0,751.0,4.0,65768.0,792.0,4.0
62,Estonia,1332.0,27.0,102.0,1203.0,9.0,30764.0,1004.0,20.0
63,Kuwait,1300.0,2.0,150.0,1148.0,26.0,0.0,304.0,0.5
64,Slovenia,1212.0,55.0,152.0,1005.0,34.0,35405.0,583.0,26.0
65,Azerbaijan,1098.0,11.0,250.0,837.0,27.0,66677.0,108.0,1.0
66,Lithuania,1062.0,24.0,101.0,937.0,14.0,41503.0,390.0,9.0
67,Armenia,1039.0,14.0,211.0,814.0,30.0,7631.0,351.0,5.0
68,Bosnia and Herzegovina,1030.0,39.0,206.0,785.0,4.0,11612.0,314.0,12.0
69,Hong Kong,1010.0,4.0,397.0,609.0,13.0,96709.0,135.0,0.5
70,Kazakhstan,979.0,12.0,110.0,857.0,21.0,69304.0,52.0,0.6
